CPU_name,CPU_core_count,CPU_core_clock,CPU_boost_clock,CPU_graphics
Intel Core i7-3970X Extreme Edition,6,3.5,,
Intel Core i5-4690K,4,3.5,3.9,Intel HD Graphics 4600
Intel Core i7-5930K,6,3.5,3.7,
AMD Athlon X4 750K,4,3.4,,
Intel Core i5-3340,4,3.1,3.3,Intel HD Graphics 2500
Intel Xeon E5-2687W V2,8,3.4,4,
Intel Core i5-4460S,4,2.9,3.4,Intel HD Graphics 4000
AMD Athlon 200GE,2,3.2,,Radeon Vega 3
AMD A8-7680,4,3.5,3.8,Radeon R7 (on-die)
Intel Core 2 Duo E7500,2,2.93,,
AMD A8-7650K,4,3.3,3.7,Radeon R7 (on-die)
Intel Core i7-3960X Extreme Edition,6,3.3,,
Intel Xeon E5-2620 V4,8,2.1,3,
Intel Core i9-9960X,16,3.1,4.4,
AMD FX-8120,8,3.1,,
AMD FX-9590,8,4.7,5,
Intel Xeon E3-1220 V5,4,3,3.5,
AMD Ryzen 5 5600GT,6,3.6,4.6,Radeon Vega 7
AMD FX-9370,8,4.4,4.7,
Intel Xeon E3-1270 V5,4,3.6,4,
Intel Core i9-9900T,8,2.1,4.4,Intel UHD Graphics 630
Intel Core i5-9400,6,2.9,4.1,Intel UHD Graphics 630
AMD Phenom II X6 1100T Black,6,3.3,,
Intel Core i9-9900,8,3.1,5,Intel UHD Graphics 630
Intel Pentium Gold G6605,2,4.3,,Intel UHD Graphics 630
Intel Core i9-9940X,14,3.3,4.4,
Intel Core i3-8100,4,3.6,,Intel UHD Graphics 630
Intel Core i7-930,4,2.8,,
Intel Xeon E3-1240L V5,4,2.1,3.2,
AMD A10-7890K,4,4.1,4.3,Radeon R7 (on-die)
Intel Core i9-7940X,14,3.1,4.4,
Intel Pentium G2030,2,3,,Intel HD Graphics
Intel Core 2 Quad Q6600,4,2.4,,
Intel Core i7-4771,4,3.5,3.9,Intel HD Graphics 4600
Intel Xeon E5-2680 V3,12,2.5,3.3,
Intel Core i5-9600K,6,3.7,4.6,Intel UHD Graphics 630
Intel Pentium Gold G5400,2,3.7,,Intel UHD Graphics 610
AMD FX-8370,8,4,4.3,
Intel Xeon E5-2670,8,2.6,3.3,
Intel Xeon E5-1620 V4,4,3.5,3.8,
Intel Xeon E3-1220 V3,4,3.1,3.5,
AMD A10-5800K,4,3.8,,Radeon HD 7660D
Intel Core i7-4790K,4,4,4.4,Intel HD Graphics 4600
Intel Core i3-4130T,2,2.9,,Intel HD Graphics 4400
Intel Celeron G4920,2,3.2,,Intel UHD Graphics 610
Intel Xeon E3-1241 V3,4,3.5,3.9,
Intel Core i3-6098P,2,3.6,,Intel HD Graphics 510
Intel Core i5-10600K,6,4.1,4.8,Intel UHD Graphics 630
Intel Core i3-10100T,4,3,3.8,Intel UHD Graphics 630
Intel Core i3-9300,4,3.7,4.3,Intel UHD Graphics 630
Intel Core i7-4790T,4,2.7,3.9,
AMD FX-8350,8,4,,
Intel Core i7-5820K,6,3.3,3.6,
Intel Core i3-8300,4,3.7,,Intel UHD Graphics 630
Intel Core i3-9100T,4,3.1,3.7,Intel UHD Graphics 630
Intel Core i9-10900K,10,3.7,5.3,Intel UHD Graphics 630
Intel Xeon E5-4620,8,2.2,2.6,
Intel Core i5-4690K,4,3.5,3.9,Intel HD Graphics 4600
Intel Core i9-10850KA Avengers Limited Edition,10,3.6,5.2,Intel UHD Graphics 630
Intel Core i5-4570T,2,2.9,,Intel HD Graphics 4600
Intel Xeon E5-1650 V2,6,3.5,3.9,
Intel Core 2 Quad Q9400,4,2.66,,
Intel Xeon E5-1660 V2,6,3.7,4,
Intel Core i5-6400T,4,2.2,2.8,Intel HD Graphics 530
AMD Threadripper 2990WX,32,3,4.2,
Intel Core 2 Extreme QX6800,4,2.93,,
Intel Core i5-7400T,4,2.4,3,Intel HD Graphics 630
Intel Core i3-3250,2,3.5,,Intel HD Graphics 2500
AMD A10-6700,4,3.7,,Radeon HD 8670D
Intel Xeon E-2288G,8,3.7,5,Intel HD Graphics P630
AMD FX-4100,4,3.6,,
AMD A6-5400K,2,3.6,,Radeon HD 7540D
Intel Xeon E3-1225 V2,4,3.2,,Intel HD Graphics P4000
Intel Xeon E3-1225 V3,4,3.2,3.6,Intel HD Graphics P4600
Intel Core i5-5675C,4,3.1,3.6,Iris Pro Graphics 6200
Intel Core i7-7740X,4,4.3,4.5,
Intel Xeon E-2124,4,3.3,4.3,
Intel Core i5-6600T,4,2.7,3.5,Intel HD Graphics 530
Intel Core i7-970,6,3.2,,
Intel Xeon E3-1240 V3,4,3.4,3.8,
Intel Core i3-6100,2,3.7,,Intel HD Graphics 530
AMD A10-7870K,4,3.9,4.1,Radeon R7 (on-die)
Intel Xeon E3-1230 V5,4,3.4,3.8,
Intel Xeon E3-1245 V3,4,3.4,3.8,Intel HD Graphics P4600
Intel Core i5-7600,4,3.5,4.1,Intel HD Graphics 630
Intel Xeon E5-2683 V4,16,2.1,3,
Intel Pentium Gold G5420,2,3.8,,Intel UHD Graphics 610
Intel Core i3-540,2,3.06,,Intel HD Graphics
Intel Xeon E5-2670 V2,10,2.5,3.3,
Intel Core i7-6800K,6,3.4,3.6,
Intel Celeron G1610,2,2.6,,Intel HD Graphics
Intel Core i5-8600,6,3.1,4.3,Intel UHD Graphics 630
Intel Core i3-550,2,3.2,,Intel HD Graphics
AMD Phenom II X4 820,4,2.8,,
AMD Opteron 6378,16,2.4,3.3,
Intel Xeon E-2278G,8,3.4,5,Intel HD Graphics P630
Intel Core 2 Duo E6400,2,2.13,,
AMD A10-7860k,4,3.6,4,Radeon R7 (on-die)
Intel Core i5-3570,4,3.4,,Intel HD Graphics 2500
Intel Core i9-9960X,16,3.1,4.4,
Intel Pentium G3420,2,3.2,,Intel HD Graphics
Intel Core 2 Extreme QX9650,4,3,,
Intel Core 2 Duo E8600,2,3.33,,
AMD A8-3850,4,2.9,,Radeon HD 6550D
Intel Core i7-980,6,3.333,,
AMD A8-5500,4,3.2,,Radeon HD 7560D
Intel Core i5-6600,4,3.3,3.9,Intel HD Graphics 530
Intel Core 2 Extreme QX9775,4,3.2,,
Intel Core i3-4330,2,3.5,,Intel HD Graphics 4600
Intel Core i3-6300T,2,3.3,,Intel HD Graphics 530
Intel Core i9-9920X,12,3.5,4.4,
Intel Core i9-9820X,10,3.3,4.1,
AMD Phenom II X6 1055T,6,2.8,,
AMD A8-3870K,4,3,,Radeon HD 6550D
Intel Core i3-4160,2,3.6,,Intel HD Graphics 4400
Intel Xeon E3-1271 V3,4,3.6,4,
AMD Athlon X4 880K,4,4,4.2,
AMD Ryzen 7 1800X,8,3.6,4,
Intel Core i5-8500,6,3,4.1,Intel UHD Graphics 630
Intel Core i7-875K,4,2.93,,
Intel Xeon E3-1240 V2,4,3.4,,
Intel Xeon E-2286G,6,4,4.9,Intel HD Graphics P630
Intel Pentium E6600,2,3.06,,
Intel Core i3-2130,2,3.4,,Intel HD Graphics 2000
AMD 3850,4,1.3,,Radeon HD 8280
Intel Xeon E5-1620 V2,4,3.7,3.9,
Intel Xeon E5-2680 V3,12,2.5,3.3,
Intel Xeon E3-1245 V5,4,3.5,3.9,Intel HD Graphics P530
AMD Threadripper 2950X,16,3.5,4.4,
AMD Athlon 220GE,2,3.4,,Radeon Vega 3
AMD Athlon II X4 630,4,2.8,,
AMD A8-5600K,4,3.6,,Radeon HD 7560D
Intel Xeon E5-2660 V3,10,2.6,3.3,
Intel Core i3-7100T,2,3.4,,Intel HD Graphics 630
Intel Core i9-9940X,14,3.3,4.4,
AMD Athlon II X4 640,4,3,,
AMD FX-9370,8,4.4,4.7,
Intel Core i7-975 Extreme Edition,4,3.33,,
Intel Pentium G3220,2,3,,Intel HD Graphics
AMD Athlon X4 760K,4,3.8,4.1,
Intel Xeon E5-1650,6,3.2,3.8,
Intel Core i5-9500,6,3,4.4,Intel UHD Graphics 630
AMD Athlon 3000G (14nm),2,3.5,,Radeon Vega 3
AMD A10-6700,4,3.7,,Radeon HD 8670D
Intel Core i5-7600T,4,2.8,3.7,Intel HD Graphics 630
Intel Xeon E-2274G,4,4,4.9,Intel HD Graphics P630
Intel Xeon E5-2687W,8,3.1,3.8,
Intel Xeon E5-2643 V4,6,3.4,3.7,
Intel Xeon E5-2470V2,10,2.4,3.2,
AMD A8-6500,4,3.5,,Radeon HD 8570D
Intel Core i7-3770T,4,2.5,3.7,Intel HD Graphics 4000
Intel Pentium G3260,2,3.3,,Intel HD Graphics
Intel Xeon E3-1230 V6,4,3.5,3.9,
Intel Core i5-3450S,4,2.8,,Intel HD Graphics 2500
Intel Pentium G3250,2,3.2,,Intel HD Graphics
Intel Core i9-7900X,10,3.3,4.5,
Intel Xeon E3-1245 V6,4,3.7,4.1,Intel HD Graphics P630
Intel Celeron 420,1,1.6,,
Intel Pentium E5200,2,2.5,,
Intel Core i5-2550K,4,3.4,,
Intel Core i3-3210,2,3.2,,Intel HD Graphics 2500
AMD FX-4100,4,3.6,,
Intel Xeon E5-1650 V4,6,3.6,4,
Intel Core i3-7300,2,4,,Intel HD Graphics 630
Intel Core i3-4340,2,3.6,,Intel HD Graphics 4600
Intel Xeon E5-2680 V2,10,2.8,3.6,
Intel Celeron G1840,2,2.8,,Intel HD Graphics
Intel Core i5-4670S,4,3.1,3.8,Intel HD Graphics 4600
Intel Celeron G3900,2,2.8,,Intel HD Graphics 510
AMD A6-9500E,2,3,3.4,Radeon R5 (on die)
Intel Pentium Gold G5400T,2,3.1,,Intel UHD Graphics 610
AMD Phenom II X4 955 Black,4,3.2,,
Intel Pentium E5300,2,2.6,,
Intel Core i7-860,4,2.8,,
Intel Core i5-4690S,4,3.2,3.9,Intel HD Graphics 4600
AMD FX-4300,4,3.8,,
Intel Xeon E5-1620,4,3.6,3.8,
Intel Core i7-870,4,2.93,,
Intel Core i5-4440S,4,2.8,3.3,Intel HD Graphics 4600
Intel Core i3-560,2,3.333,,Intel HD Graphics
AMD 2650,2,1.45,,Radeon HD 8240
Intel Core i7-7800X,6,3.5,4,
Intel Core i5-8600T,6,2.3,3.7,Intel UHD Graphics 630
Intel Core i9-9900X,10,3.5,4.4,
Intel Xeon E-2236,6,3.4,4.8,
Intel Celeron 440,1,2,,
Intel Core i5-4690,4,3.5,3.9,Intel HD Graphics 4600
AMD Athlon II X2 250,2,3,,
AMD Phenom II X4 940 Black,4,3,,
Intel Pentium G630,2,2.7,,Intel HD Graphics
AMD FX-8120,8,3.1,,
Intel Core i3-3225,2,3.3,,Intel HD Graphics 4000
Intel Xeon E3-1220 V2,4,3.1,,
AMD FX-4130,4,3.8,,
Intel Celeron G1820,2,2.7,,Intel HD Graphics
Intel Xeon E5-2690,8,2.9,3.8,
Intel Xeon E5-2660 V2,10,2.2,3,
Intel Xeon E3-1246 V3,4,3.5,3.9,Intel HD Graphics P4600
Intel Xeon E5-2650L V2,10,1.7,2.1,
Intel Xeon E5-2650 V3,10,2.3,3,
Intel Xeon E5-2650L,8,1.8,2.3,
Intel Core i7-7820X,8,3.6,4.5,
Intel Core 2 Quad Q9550,4,2.83,,
Intel Xeon E3-1245 V2,4,3.4,,Intel HD Graphics P4000
Intel Core i7-5960X,8,3,3.5,
Intel Xeon E3-1275 V2,4,3.5,,Intel HD Graphics P4000
Intel Xeon E5-2609 V4,8,1.7,,
Intel Core i7-9700T,8,2,4.3,Intel HD Graphics 630
AMD Phenom II X4 945,4,3,,
Intel Pentium G620,2,2.6,,Intel HD Graphics
Intel Pentium Gold G5600,2,3.9,,Intel UHD Graphics 630
Intel Core i5-9600T,6,2.3,3.9,Intel UHD Graphics 630
Intel Core i5-4590T,4,2,,Intel HD Graphics 4000
Intel Core i3-10325,4,3.9,4.7,Intel UHD Graphics 630
AMD A10-5700,4,3.4,,Radeon HD 7660D
AMD A10-5800K,4,3.8,,Radeon HD 7660D
AMD Ryzen 5 5500GT,6,3.6,4.4,Radeon Vega 7
AMD A12-9800E,4,3.1,3.8,Radeon R7 (on-die)
Intel Xeon E-2276G,6,3.8,4.9,Intel HD Graphics P630
Intel Core 2 Duo E6700,2,2.66,,
Intel Core i5-3330S,4,2.7,3.2,Intel HD Graphics 2500
AMD Athlon II X2 270,2,3.4,,
Intel Core i3-2120T,2,2.6,,Intel HD Graphics 2000
AMD FX-8370E,8,3.3,4.3,
AMD Athlon X4 840,4,3.1,3.8,
Intel Xeon E3-1270 V2,4,3.5,,
Intel Xeon E3-1275 V5,4,3.6,4,Intel HD Graphics P530
Intel Xeon E5-2683 V3,14,2,3,
AMD Ryzen 7 1800X,8,3.6,4,
AMD Threadripper 2970WX,24,3,4.2,
AMD A6-7480,2,3.5,3.8,Radeon R5 (on die)
Intel Xeon E5-2630L V3,8,1.8,2.9,
Intel Pentium E2140,2,1.6,,
Intel Core i7-965 Extreme Edition,4,3.2,,
Intel Core 2 Extreme QX6850,4,3,,
Intel Pentium E2200,2,2.2,,
Intel Core 2 Quad Q8400,4,2.66,,
Intel Core i3-7320,2,4.1,,Intel HD Graphics 630
Intel Pentium E2160,2,1.8,,
AMD Sempron 140,1,2.7,,
AMD A10-5700,4,3.4,,Radeon HD 7660D
Intel Core i3-3245,2,3.4,,Intel HD Graphics 4000
Intel Xeon E3-1240 V5,4,3.5,3.9,
Intel Pentium G4560,2,3.5,,Intel HD Graphics 610
Intel Xeon E5-2650L V4,14,1.7,2.5,
AMD Athlon 240GE,2,3.5,,Radeon Vega 3
Intel Core i5-661,2,3.33,,Intel HD Graphics
Intel Celeron G3920,2,2.6,,Intel HD Graphics 510
Intel Celeron G530,2,2.4,,Intel HD Graphics
Intel Xeon E3-1265L V3,4,2.5,3.7,Intel HD Graphics
AMD A4-3300,2,2.5,,Radeon HD 6410D
Intel Core i3-3220T,2,2.8,,Intel HD Graphics 2500
Intel Celeron 430,1,1.8,,
Intel Core 2 Duo E8600,2,3.33,,
Intel Core i7-880,4,3.06,,
Intel Core 2 Extreme QX6700,4,2.66,,
Intel Xeon E5-1680 V3,8,3.2,3.8,
AMD A4-7300,2,3.8,4,Radeon HD 8470D
Intel Pentium G4620,2,3.7,,Intel HD Graphics 630
Intel Core i3-9350K,4,4,4.6,Intel HD Graphics 630
Intel Core i5-9400,6,2.9,4.1,Intel UHD Graphics 630
AMD Opteron 6320,8,2.8,3.3,
Intel Xeon E3-1275 V6,4,3.8,4.2,Intel HD Graphics P630
Intel Celeron 440,1,2,,
AMD Athlon II X4 635,4,2.9,,
AMD A4-6300B,2,3.7,3.9,Radeon HD 8370D
Intel Xeon E5-2637 V3,4,3.5,3.7,
AMD A6-3650,4,2.6,,Radeon HD 6530D
AMD Phenom II X6 1045T,6,2.7,,
AMD FX-4170,4,4.2,,
Intel Xeon E3-1220,4,3.1,,
Intel Xeon E3-1275 V3,4,3.5,3.9,Intel HD Graphics P4600
Intel Xeon E5-2620 V2,6,2.1,2.6,
Intel Pentium G3240,2,3.1,,Intel HD Graphics
Intel Core i3-3240,2,3.4,,Intel HD Graphics 2500
Intel Xeon E3-1260L V5,4,2.9,3.9,
Intel Core i5-3570S,4,3.1,3.8,Intel HD Graphics 2500
Intel Core i7-9800X,8,3.8,4.5,
AMD Athlon 220GE,2,3.4,,Radeon Vega 3
Intel Core i5-9500F,6,3,4.4,
Intel Core i3-7100T,2,3.4,,Intel HD Graphics 630
AMD Phenom II X4 830,4,2.8,,
Intel Core 2 Duo E4300,2,1.8,,
Intel Core i3-6320,2,3.9,,Intel HD Graphics 530
Intel Xeon E3-1225 V5,4,3.3,3.7,Intel HD Graphics P530
Intel Xeon E5-1650 V3,6,3.5,3.8,
Intel Xeon E3-1235L V5,4,2,3,Intel HD Graphics P530
AMD A6-7470K,2,3.7,4,Radeon R5 (on die)
Intel Core 2 Duo E7300,2,2.66,,
Intel Core 2 Duo E7400,2,2.8,,
Intel Core 2 Duo E8400,2,3,,
Intel Core 2 Duo E8500,2,3.16,,
Intel Core 2 Quad Q8200,4,2.33,,
Intel Xeon E5-2609,4,2.4,,
AMD 5150,4,1.6,,Radeon HD 8400
Intel Pentium G3470,2,3.6,,Intel HD Graphics
Intel Core i7-6700T,4,2.8,3.6,Intel HD Graphics 530
Intel Xeon E3-1240 V6,4,3.7,4.1,
AMD Athlon 240GE,2,3.5,,Radeon Vega 3
Intel Xeon E-2146G,6,3.5,4.5,Intel HD Graphics P630
Intel Xeon E-2104G,4,3.2,,Intel HD Graphics P630
Intel Xeon E3-1275,4,3.4,,Intel HD Graphics
Intel Xeon E5-2665,8,2.4,3.1,
Intel Core i5-750,4,2.66,,
Intel Xeon E5-4650,8,2.7,3.3,
Intel Xeon E5-2695 V3,14,2.3,3.3,
Intel Xeon E5-2670 V3,12,2.3,3.1,
Intel Xeon E3-1220 V6,4,3,3.5,
Intel Core 2 Duo E4500,2,2.2,,
Intel Core i5-660,2,3.33,,Intel HD Graphics
Intel Core i7-920,4,2.66,,
Intel Core 2 Quad Q8300,4,2.5,,
AMD Phenom II X6 1075T,6,3,,
Intel Pentium E6800,2,3.333,,
AMD FX-6200,6,3.8,,
Intel Pentium G870,2,3.1,,Intel HD Graphics
AMD Pro A8-7600B,4,3.1,3.8,Radeon R7 (on-die)
AMD FX-8310,8,3.4,4.3,
Intel Core i5-6400T,4,2.2,2.8,Intel HD Graphics 530
Intel Pentium G4400,2,3.3,,Intel HD Graphics 510
Intel Core i7-6850K,6,3.6,3.8,
AMD Athlon X4 870K,4,3.9,4.1,
Intel Xeon E3-1270 V6,4,3.8,4.2,
AMD Threadripper 2920X,12,3.5,4.3,
AMD Phenom II X4 975,4,3.6,,
Intel Core i3-2105,2,3.1,,Intel HD Graphics 3000
Intel Xeon E5-2643 V2,6,3.5,3.8,
Intel Xeon E5-2643 V3,6,3.4,3.7,
Intel Core i3-4350,2,3.6,,Intel HD Graphics 4600
Intel Xeon E-2236,6,3.4,4.8,
Intel Xeon E-2246G,6,3.6,4.8,Intel HD Graphics P630
AMD Phenom II X4 945,4,3,,
Intel Celeron E1200,2,1.6,,
Intel Celeron E3200,2,2.4,,
Intel Core i7-930,4,2.8,,
Intel Core i3-2100T,2,2.5,,Intel HD Graphics 2000
AMD Phenom II X4 840,4,3.2,,
AMD Athlon II X2 245,2,2.9,,
AMD Phenom II X4 980 Black,4,3.7,,
AMD A6-3670K,4,2.7,,Radeon HD 6530D
AMD FX-8150,8,3.6,,
AMD FX-8300,8,3.3,,
AMD 5150,4,1.6,,Radeon HD 8400
Intel Pentium Gold G5500,2,3.8,,Intel UHD Graphics 630
Intel Core i5-9400T,6,1.8,3.4,Intel UHD Graphics 630
Intel Xeon E3-1280 V6,4,3.9,4.2,
Intel Pentium E6500,2,2.93,,
Intel Core i7-6900K,8,3.2,3.7,
Intel Pentium G4600,2,3.6,,Intel HD Graphics 630
Intel Core i5-7640X,4,4,4.2,
AMD Athlon II X3 435,3,2.9,,
Intel Core 2 Duo E8400,2,3,,
Intel Core i7-860S,4,2.53,,
Intel Core 2 Quad Q9550S,4,2.83,,
AMD Athlon II X2 255,2,3.1,,
Intel Pentium G2120,2,3.1,,Intel HD Graphics
Intel Xeon E3-1275 V2,4,3.5,,Intel HD Graphics P4000
Intel Core i5-3340S,4,2.8,3.3,Intel HD Graphics 2500
Intel Pentium G3450,2,3.4,,Intel HD Graphics
Intel Xeon E5-2690,8,2.9,3.8,
AMD FX-8370,8,4,4.3,
Intel Xeon E5-1630 V3,4,3.7,3.8,
Intel Xeon E5-2623 V3,4,3,3.5,
Intel Xeon E3-1280 V5,4,3.7,4,
AMD Opteron 6378,16,2.4,3.3,
Intel Core i3-7350K,2,4.2,,Intel HD Graphics 630
Intel Xeon E3-1225 V6,4,3.3,3.7,Intel HD Graphics P630
Intel Xeon E3-1285 V6,4,4.1,4.5,Intel HD Graphics 630
Intel Core i3-8350K,4,4,,Intel UHD Graphics 630
Intel Xeon E-2174G,4,3.8,4.7,Intel HD Graphics P630
Intel Xeon E-2176G,6,3.7,4.7,Intel HD Graphics P630
Intel Pentium Gold G6600,2,4.2,,Intel UHD Graphics 630
Intel Core i7-5775C,4,3.3,3.7,Iris Pro Graphics 6200
Intel Core 2 Quad Q9505,4,2.83,,
Intel Core i3-7300T,2,3.5,,Intel HD Graphics 630
Intel Core i9-9920X,12,3.5,4.4,
AMD Phenom II X2 555 Black,2,3.2,,
AMD Phenom II X6 1055T,6,2.8,,
Intel Core 2 Duo E6850,2,3,,
Intel Core i5-670,2,3.46,,Intel HD Graphics
Intel Core 2 Quad Q6700,4,2.66,,
AMD FX-8100,8,2.8,,
Intel Pentium G630T,2,2.3,,Intel HD Graphics
AMD A4-3400,2,2.7,,Radeon HD 6410D
Intel Xeon E3-1245,4,3.3,,Intel HD Graphics
AMD A4-4000,2,3,,Radeon HD 7480D
AMD A10-6790K,4,4,4.3,Radeon HD 8670D
AMD FX-9590,8,4.7,5,
Intel Xeon E3-1276 V3,4,3.6,4,Intel HD Graphics P4600
AMD Pro A10-7800B,4,3.5,3.9,Radeon R7 (on-die)
AMD Pro A10-7850B,4,3.7,4,Radeon R7 (on-die)
Intel Pentium G3460,2,3.5,,Intel HD Graphics
Intel Xeon E5-2640 V3,8,2.6,3.4,
Intel Core i7-4770T,4,2.5,,Intel HD Graphics 4600
Intel Xeon E3-1230 V5,4,3.4,3.8,
Intel Pentium G4620,2,3.7,,Intel HD Graphics 630
Intel Core i3-7300T,2,3.5,,Intel HD Graphics 630
Intel Core i9-7900X,10,3.3,4.5,
Intel Core i3-8300T,4,3.2,,Intel UHD Graphics 630
Intel Core i5-9500F,6,3,4.4,
Intel Core i3-9300,4,3.7,4.3,Intel UHD Graphics 630
Intel Core i5-9600,6,3.1,4.6,Intel UHD Graphics 630
Intel Core i3-4360,2,3.7,,Intel HD Graphics 4600
Intel Xeon E5-2630L V2,6,2.4,,
AMD Opteron 6320,8,2.8,3.3,
AMD Phenom II X6 1035T,6,2.6,,
AMD Phenom II X2 550 Black,2,3.1,,
Intel Celeron E1600,2,2.4,,
Intel Pentium E5300,2,2.6,,
Intel Core 2 Duo E6550,2,2.33,,
Intel Core 2 Duo E7200,2,2.53,,
AMD Athlon II X4 645,4,3.1,,
Intel Pentium E5500,2,2.8,,
AMD Phenom II X4 965,4,3.4,,
Intel Core i5-2405S,4,2.5,,Intel HD Graphics 3000
Intel Pentium G860,2,3,,Intel HD Graphics
Intel Xeon E3-1230,4,3.2,,
Intel Xeon E3-1240,4,3.3,,
Intel Pentium G2130,2,3.2,,Intel HD Graphics
Intel Xeon E5-2603,4,1.8,,
Intel Xeon E5-2640,6,2.5,3,
AMD Sempron 150,1,2.9,,
AMD A10-7700K,4,3.4,3.8,Radeon R7 (on-die)
AMD FX-4320,4,4,4.2,
Intel Xeon E3-1226 V3,4,3.3,3.7,Intel HD Graphics P4600
Intel Xeon E5-2637 V2,4,3.5,3.8,
AMD A8-7600,4,3.1,3.8,Radeon R7 (on-die)
AMD Phenom II X2 B59,2,3.4,,
Intel Xeon E5-2697 V3,14,2.6,3.6,
AMD Phenom II X6 1065T,6,2.7,,
Intel Xeon E3-1220 V5,4,3,3.5,
AMD Opteron 6344,12,2.6,3.2,
Intel Celeron G3930,2,2.9,,Intel HD Graphics 610
Intel Core i5-7600T,4,2.8,3.7,Intel HD Graphics 630
Intel Core i7-7700T,4,2.9,3.8,Intel HD Graphics 630
Intel Xeon E5-2420V2,6,2.2,2.7,
Intel Core i9-7940X,14,3.1,4.4,
Intel Core i3-9320,4,3.7,4.4,
Intel Xeon E-2126G,6,3.3,4.5,Intel HD Graphics P630
Intel Celeron G5925,2,3.6,,Intel UHD Graphics 610
Intel Celeron G5905T,2,3.3,,Intel UHD Graphics 610
AMD FX-4350,4,4.2,,
Intel Xeon E5-1620 V4,4,3.5,3.8,
AMD Athlon II X4 620,4,2.6,,
Intel Pentium G6950,2,2.8,,Intel HD Graphics
Intel Xeon E5-2620,6,2,,
AMD Phenom II X4 940 Black,4,3,,
Intel Celeron E3300,2,2.5,,
Intel Celeron E3400,2,2.6,,
Intel Core 2 Duo E6700,2,2.66,,
Intel Core 2 Duo E6750,2,2.66,,
Intel Core 2 Quad Q9450,4,2.66,,
Intel Core 2 Quad Q9450,4,2.66,,
AMD Athlon II X3 450,3,3.2,,
Intel Pentium E6700,2,3.2,,
AMD FX-8150,8,3.6,,
Intel Pentium G640T,2,2.4,,Intel HD Graphics
AMD Athlon II X4 651K,4,3,,
Intel Xeon E3-1265L V2,4,2.5,,Intel HD Graphics 2500
Intel Xeon E5-1660,6,3.3,3.9,
Intel Celeron G1850,2,2.9,,Intel HD Graphics
AMD A10-6800B,4,4.1,4.4,Radeon HD 8670D
AMD E2-3200,2,2.4,,Radeon HD 6370D
AMD Athlon X4 860K,4,3.7,4,
Intel Xeon E5-2603 V3,6,1.6,,
Intel Xeon E5-2650L V3,12,1.8,2.5,
Intel Xeon E3-1270 V3,4,3.5,3.9,
Intel Core i5-4570S,4,2.9,,Intel HD Graphics 4600
Intel Xeon E5-2630 V2,6,2.6,3.1,
Intel Core i3-6100T,2,3.2,,Intel HD Graphics 530
Intel Core i5-6500T,4,2.5,3.1,Intel HD Graphics 530
Intel Xeon E3-1245 V5,4,3.5,3.9,Intel HD Graphics P530
AMD Athlon X4 860K,4,3.7,4,
Intel Core i5-7500T,4,2.7,3.3,Intel HD Graphics 630
Intel Xeon E3-1270 V6,4,3.8,4.2,
Intel Core i9-7960X,16,2.8,4.4,
Intel Core i3-8300,4,3.7,,Intel UHD Graphics 630
Intel Core i9-9820X,10,3.3,4.1,
Intel Xeon E-2124G,4,3.4,4.5,Intel HD Graphics P630
Intel Core 2 Duo E6320,2,1.86,,
Intel Xeon E3-1235,4,3.2,,Intel HD Graphics
AMD Athlon II X2 215,2,2.7,,
AMD Phenom II X4 810,4,2.6,,
AMD Phenom II X4 920,4,2.8,,
AMD Athlon II X2 250u,2,1.6,,
Intel Pentium E2140,2,1.6,,
Intel Pentium E2180,2,2,,
Intel Pentium E6300,2,2.8,,
Intel Core 2 Duo E6420,2,2.13,,
Intel Core 2 Duo E8300,2,2.83,,
Intel Core 2 Quad Q8300,4,2.5,,
Intel Core 2 Quad Q9400,4,2.66,,
AMD Phenom II X4 970 Black,4,3.5,,
AMD Phenom II X2 565 Black,2,3.4,,
AMD Athlon II X4 631,4,2.6,,
AMD A6-3500,3,2.1,,Radeon HD 6530D
Intel Core i3-2125,2,3.3,,Intel HD Graphics 3000
AMD FX-6100,6,3.3,,
AMD Phenom II X4 970,4,3.5,,
Intel Core i5-2450P,4,3.2,,
AMD Athlon II X4 641,4,2.8,,
Intel Pentium G645,2,2.9,,Intel HD Graphics 2500
Intel Xeon E3-1225,4,3.1,,Intel HD Graphics
Intel Celeron G1620,2,2.7,,Intel HD Graphics
AMD Athlon X4 740,4,3.2,,
Intel Pentium G2140,2,3.3,,Intel HD Graphics
Intel Xeon E5-2640 V2,8,2,2.5,
AMD A4-4020,2,3.2,3.4,Radeon HD 7480D
AMD Sempron 145,1,2.8,,
AMD A4-6320,2,3.8,4,Radeon HD 8370D
AMD A4-4000,2,3,,Radeon HD 7480D
AMD FX-6350,6,3.9,,
Intel Core i3-4160T,2,3.1,,Intel HD Graphics 4400
Intel Xeon E5-2687W,8,3.1,3.8,
Intel Pentium G3250T,2,2.8,,Intel HD Graphics
Intel Xeon E5-2695 V3,14,2.3,3.3,
Intel Xeon E3-1245 V3,4,3.4,3.8,Intel HD Graphics P4600
Intel Pentium G3470,2,3.6,,Intel HD Graphics
Intel Core i5-5675C,4,3.1,3.6,Iris Pro Graphics 6200
Intel Pentium G4400T,2,2.9,,Intel HD Graphics 510
Intel Xeon E3-1270 V5,4,3.6,4,
AMD A10-7890K,4,4.1,4.3,Radeon R7 (on-die)
AMD Athlon 5370,4,2.2,,Radeon R3 (on die)
