CPU_name,CPU_price,CPU_core_count,CPU_core_clock,CPU_boost_clock,CPU_graphics
Intel Core i7-13700,371.99,16,2.1,5.2,Intel UHD Graphics 770
Intel Core i9-11900KF,240,8,3.5,5.3,
Intel Core i7-6700,135,4,3.4,4,Intel HD Graphics 530
Intel Core i7-12700,265.49,12,2.1,4.9,Intel UHD Graphics 770
Intel Core i7-7700,,4,3.6,4.2,Intel HD Graphics 630
Intel Core i7-14700,384.99,20,2.1,5.4,Intel UHD Graphics 770
Intel Core i9-10850K,286,10,3.6,5.2,Intel UHD Graphics 630
Intel Core i7-11700F,204.99,8,2.5,4.9,
AMD Ryzen 5 5500GT,125,6,3.6,4.4,Radeon Vega 7
AMD Threadripper 3960X,1300,24,3.8,4.5,
Intel Core i5-6600K,130,4,3.5,3.9,Intel HD Graphics 530
AMD Ryzen 5 1600 (14nm),,6,3.2,3.6,
Intel Core i5-10600KF,124,6,4.1,4.8,
Intel Core i7-10700F,225.95,8,2.9,4.8,
Intel Core i7-3770,80,4,3.4,,Intel HD Graphics 4000
AMD Ryzen 5 5600GT,140,6,3.6,4.6,Radeon Vega 7
AMD Ryzen 7 2700,185,8,3.2,4.1,
Intel Core i5-14400,229.99,10,2.5,4.7,Intel UHD Graphics 730
Intel Core i7-10700,219.99,8,2.9,4.8,Intel UHD Graphics 630
Intel Core i7-6950X,425,10,3,3.5,
Intel Celeron G5900,39.99,2,3.4,,Intel UHD Graphics 610
Intel Core i5-7500,89,4,3.4,3.8,Intel HD Graphics 630
AMD Ryzen 5 1600 (12nm),120,6,3.2,3.6,
AMD Ryzen 5 3600,,6,3.6,4.2,
AMD Ryzen 3 3100,65.98,4,3.6,3.9,
Intel Core i5-11400,136.75,6,2.6,4.4,Intel UHD Graphics 730
Intel Core i3-10100,94.47,4,3.6,4.3,Intel UHD Graphics 630
Intel Core i7-4770,74.95,4,3.4,3.9,Intel HD Graphics 4600
Intel Core i9-12900KS,359,16,3.4,5.5,Intel UHD Graphics 770
Intel Core i3-10105F,81.16,4,3.7,4.4,
Intel Core i9-14900,567.72,24,2,5.8,Intel UHD Graphics 770
Intel Core i5-11600K,194,6,3.9,4.9,Intel UHD Graphics 750
Intel Core i9-10900KF,274,10,3.7,5.3,
Intel Core i7-9700,260.26,8,3,4.7,Intel HD Graphics 630
Intel Core i5-12500,195.99,6,3,4.6,Intel UHD Graphics 770
AMD Ryzen 5 5600X3D,,6,3.3,4.4,
AMD Ryzen 3 2200G,130,4,3.5,3.7,Radeon Vega 8
Intel Core i5-8600K,205,6,3.6,4.3,Intel UHD Graphics 630
Intel Xeon E5-2699 V4,294,22,2.2,3.6,
AMD Ryzen 7 1700,195,8,3,3.7,
Intel Core i7-10700KF,240,8,3.8,5.1,
Intel Core i9-9900KF,369,8,3.6,5,
AMD Ryzen 9 3950X,2147.03,16,3.5,4.7,
Intel Celeron G6900,86.13,2,3.4,,Intel UHD Graphics 710
Intel Core i7-11700,217.99,8,2.5,4.9,Intel UHD Graphics 750
Intel Xeon E5-2630 V2,,6,2.6,3.1,
Intel Core i7-4790,139.94,4,3.6,4,Intel HD Graphics 4600
Intel Core i5-7400,110,4,3,3.5,Intel HD Graphics 630
AMD Ryzen 5 3500X,,6,3.6,4.1,
Intel Core i3-13100,146.79,4,3.4,4.5,Intel UHD Graphics 730
Intel Xeon E5-2660,16.44,8,2.2,3,
Intel Core i3-9100F,114.43,4,3.6,4.2,
AMD FX-8350,218.36,8,4,,
AMD Athlon 3000G (14nm),65,2,3.5,,Radeon Vega 3
AMD Athlon II X2 240,29.48,2,2.8,,
Intel Core i7-3770K,175,4,3.5,,Intel HD Graphics 4000
Intel Core i7-9700F,299,8,3,4.7,
Intel Core i9-13900F,516.99,24,2,5.6,
Intel Core i5-4590,,4,3.3,3.7,Intel HD Graphics 4600
Intel Core i5-7600K,210,4,3.8,4.2,Intel HD Graphics 630
Intel Core i9-9900KS,1989,8,4,5,Intel UHD Graphics 630
Intel Core i5-3470,69,4,3.2,,Intel HD Graphics 2500
AMD Ryzen 7 5700,,8,3.7,4.6,
Intel Core i3-8100,110,4,3.6,,Intel UHD Graphics 630
Intel Core i7-4770K,,4,3.5,3.9,Intel HD Graphics 4600
Intel Core i7-11700KF,249,8,3.6,5,
AMD Ryzen 5 1600X,125,6,3.6,4,
AMD Threadripper 2990WX,2500,32,3,4.2,
AMD Ryzen 5 3600,163.55,6,3.6,4.2,
Intel Core i9-14900F,559.99,24,2,5.8,
AMD Ryzen 7 3700X,,8,3.6,4.4,
Intel Core i5-4690,52,4,3.5,3.9,Intel HD Graphics 4600
AMD Ryzen 5 2400G,128.55,4,3.6,3.9,Radeon Vega 11
Intel Core i9-10980XE,1200,18,3,4.8,
Intel Core i5-8500,139.97,6,3,4.1,Intel UHD Graphics 630
Intel Core i9-13900,495,24,2,5.6,Intel UHD Graphics 770
Intel Core i5-11600KF,162.29,6,3.9,4.9,
AMD Ryzen 9 3900XT,450,12,3.8,4.7,
AMD Ryzen 7 1700X,225,8,3.4,3.8,
Intel Xeon E5-1650 V4,28.31,6,3.6,4,
Intel Core i5-4460,82.46,4,3.2,3.4,Intel HD Graphics 4600
AMD Threadripper 1900X,109.99,8,3.8,4,
Intel Core i3-4130,43,2,3.4,,Intel HD Graphics 4400
Intel Core i5-9400,160.91,6,2.9,4.1,Intel UHD Graphics 630
AMD Ryzen 3 3300X,150,4,3.8,4.3,
Intel Core i5-6400,,4,2.7,3.3,Intel HD Graphics 530
AMD Ryzen 7 3800XT,402.58,8,3.9,4.7,
Intel Core i7-8700K,252.5,6,3.7,4.7,Intel UHD Graphics 630
AMD Ryzen 5 1400,110,4,3.2,3.4,
Intel Core i5-4570,104.54,4,3.2,,Intel HD Graphics 4600
AMD FX-6300,,6,3.5,,
Intel Core i9-10900F,236.69,10,2.8,5.2,
Intel Core i7-9700KF,280,8,3.6,4.9,
Intel Core i5-4670K,63.5,4,3.4,,Intel HD Graphics 4600
Intel Core i7-2600,200.62,4,3.4,,Intel HD Graphics 2000
Intel Core i5-9600KF,185.12,6,3.7,4.6,
AMD Ryzen 5 3600XT,,6,3.8,4.5,
AMD Ryzen 3 1200 (14nm),105,4,3.1,3.4,
AMD Ryzen 5 1500X,195,4,3.5,3.7,
Intel Core i7-6800K,103,6,3.4,3.6,
Intel Core i5-7600,89,4,3.5,4.1,Intel HD Graphics 630
Intel Core i3-6100,100,2,3.7,,Intel HD Graphics 530
Intel Core i3-10105,89.99,4,3.7,4.4,Intel UHD Graphics 630
Intel Xeon E5-2680 V4,1975,14,2.4,3.3,
Intel Core i5-2400,253.03,4,3.1,,Intel HD Graphics 2000
AMD Ryzen 5 3500,,6,3.6,4.1,
Intel Core i7-2600K,85,4,3.4,,Intel HD Graphics 3000
Intel Core i5-12600,247.39,6,3.3,4.8,Intel UHD Graphics 770
Intel Core i5-10500,177.84,6,3.1,4.5,Intel UHD Graphics 630
AMD Ryzen 7 1800X,235,8,3.6,4,
Intel Core i5-3570K,122.49,4,3.4,,Intel HD Graphics 4000
Intel Core i7-6900K,120,8,3.2,3.7,
AMD Ryzen 9 PRO 7945,,12,3.7,5.4,Radeon
Intel Core i7-5820K,,6,3.3,3.6,
Intel Xeon E5-2650 V4,79,12,2.2,2.9,
AMD Threadripper 1950X,788.88,16,3.4,4,
Intel Core i7-4790K,185,4,4,4.4,Intel HD Graphics 4600
Intel Core i3-7100,70,2,3.9,,Intel HD Graphics 630
Intel Xeon E5-2660 V4,399,14,2,3.2,
AMD Threadripper 1920X,270,12,3.5,4,
Intel Celeron 420,69.95,1,1.6,,
Intel Core i5-6600,,4,3.3,3.9,Intel HD Graphics 530
Intel 300,96.99,2,3.9,,Intel UHD Graphics 710
AMD Ryzen 5 2400G,,4,3.6,3.9,Radeon Vega 11
Intel Core i5-9500,160.74,6,3,4.4,Intel UHD Graphics 630
Intel Core i7-7700,150,4,3.6,4.2,Intel HD Graphics 630
AMD Athlon 200GE,,2,3.2,,Radeon Vega 3
Intel Core i5-2500K,246.13,4,3.3,,Intel HD Graphics 3000
Intel Pentium G640,30,2,2.8,,Intel HD Graphics
Intel Xeon E5-2683 V4,1998.95,16,2.1,3,
Intel Core 2 Duo E8400,27.55,2,3,,
Intel Core i9-9900,464.15,8,3.1,5,Intel UHD Graphics 630
Intel Core i9-10900X,615,10,3.7,4.7,
AMD Athlon X4 845,50,4,3.5,3.8,
Intel Core i9-11900F,242.99,8,2.5,5.2,
Intel Core i5-9400F,,6,2.9,4.1,
Intel Core i5-3570,,4,3.4,,Intel HD Graphics 2500
Intel Core i9-9900K,699.99,8,3.6,5,Intel UHD Graphics 630
Intel Core i7-4790,,4,3.6,4,Intel HD Graphics 4600
Intel Core i9-10900,283.99,10,2.8,5.2,Intel UHD Graphics 630
Intel Core i5-11600,150,6,2.8,4.8,Intel UHD Graphics 750
Intel Core i3-4150,48,2,3.5,,Intel HD Graphics 4400
AMD A4-6300,46.79,2,3.7,3.9,Radeon HD 8370D
Intel Core i7-8086K,456,6,4,5,Intel UHD Graphics 630
Intel Core i9-7900X,400,10,3.3,4.5,
Intel Pentium Gold G6400,72.98,2,4,,Intel UHD Graphics 610
Intel Core i9-12900F,432.99,16,2.4,5.1,
Intel Core i9-12900,458,16,2.4,5.1,Intel UHD Graphics 770
Intel Core i7-8700,440,6,3.2,4.6,Intel UHD Graphics 630
Intel Core i7-4930K,105,6,3.4,3.9,
Intel Core i5-7500T,69,4,2.7,3.3,Intel HD Graphics 630
AMD FX-8320,175,8,3.5,,
AMD Ryzen 9 3900X,,12,3.8,4.6,
Intel Core i7-9700F,199,8,3,4.7,
Intel Core i3-12100T,,4,2.2,4.1,Intel UHD Graphics 730
Intel Core i5-8400,249.95,6,2.8,4,Intel UHD Graphics 630
Intel Core i9-7960X,357.22,16,2.8,4.4,
Intel Core i3-9100,145,4,3.6,4.2,Intel UHD Graphics 630
AMD Athlon X4 750K,,4,3.4,,
Intel Core i7-2700K,82,4,3.5,,Intel HD Graphics 3000
Intel Core i5-6500,,4,3.2,3.6,Intel HD Graphics 530
AMD Threadripper 2920X,530,12,3.5,4.3,
Intel Core i9-11900,270,8,2.5,5.2,Intel UHD Graphics 750
